model,DV,MSE,Pearson R,F1,AUC,DI_Age_bin,DI_Gender_bin,DI_Age_Gender,FV_Age_bin,FV_Gender_bin,FV_Age_Gender,adjustedDI,debiasing,wordlists,fullN
MBTI_perceiving_Binary_PT_BERT_F_F_test.csv,MBTI_perceiving,0,0,0.3689839572192514,0.528870463314644,0.7775714035395129,0.7977047936422006,1.5186953062848052,0.06584208285301846,0.03432081082895316,0.20338868637775076,False,MBTI,perceiving,False
MBTI_perceiving_Binary_PT_BERT_T_F_test.csv,MBTI_perceiving,0,0,0.3689839572192514,0.528870463314644,0.3765997100849037,1.0102186855261313,1.3842482100238664,0.06584208285301846,0.03432081082895316,0.20338868637775076,True,MBTI,perceiving,False
MBTI_perceiving_Binary_PTD_BERT_F_F_test.csv,MBTI_perceiving,0,0,0.36482213438735184,0.5394438792427805,0.281505728314239,0.7192279967284473,1.5789909015715466,0.19592692982729432,0.04575503468333214,0.22714999324962876,False,MBTI,perceiving,False
MBTI_perceiving_Binary_PTD_BERT_T_F_test.csv,MBTI_perceiving,0,0,0.36482213438735184,0.5394438792427805,0.1363411452476272,0.910835145080626,1.4392059553349876,0.19592692982729432,0.04575503468333214,0.22714999324962876,True,MBTI,perceiving,False
MBTI_perceiving_Binary_PTD_RoBERTa_F_F_test.csv,MBTI_perceiving,0,0,0.24681260524416648,0.5515473714354615,1.0186626265408718,0.6549856712765444,2.7546897546897546,0.002907852239565495,0.03222321780770568,0.3490616983934116,False,MBTI,perceiving,False
MBTI_perceiving_Binary_PTD_RoBERTa_T_F_test.csv,MBTI_perceiving,0,0,0.24681260524416648,0.5515473714354615,0.4933669732237324,0.829478234491127,2.510822510822511,0.002907852239565495,0.03222321780770568,0.3490616983934116,True,MBTI,perceiving,False
MBTI_perceiving_Binary_PT_RoBERTa_F_F_test.csv,MBTI_perceiving,0,0,0.33755043424741843,0.6727454014616562,1.8067083173362184,0.7053929454063961,2.7100651996740015,0.12739316851653862,0.027986538798319277,0.3416788828022529,False,MBTI,perceiving,False
MBTI_perceiving_Binary_PT_RoBERTa_T_F_test.csv,MBTI_perceiving,0,0,0.33755043424741843,0.6727454014616562,0.8088778016382269,0.898330479742982,2.448247758761206,0.12739316851653862,0.027986538798319277,0.3416788828022529,True,MBTI,perceiving,False
MBTIShort_perceiving_Binary_PT_BERT_F_F_test.csv,MBTIShort_perceiving,0,0,0.2980306345733042,0.5526509807491011,1.3494397759103642,0.6565167556071676,2.246878547105562,0.06465182500647165,0.03925380016015059,0.31465182500647165,False,MBTIShort,perceiving,False
MBTIShort_perceiving_Binary_PT_BERT_T_F_test.csv,MBTIShort_perceiving,0,0,0.2980306345733042,0.5526509807491011,0.6434338441258857,0.8344050062070887,2.0283768444948924,0.06465182500647165,0.03925380016015059,0.31465182500647165,True,MBTIShort,perceiving,False
MBTIShort_perceiving_Binary_PTD_BERT_F_F_test.csv,MBTIShort_perceiving,0,0,0.26582278481012656,0.5338007471348424,1.2015588464536242,0.7027242347777026,2.5674448767833984,0.033549055138493405,0.029687415136100043,0.3335490551384934,False,MBTIShort,perceiving,False
MBTIShort_perceiving_Binary_PTD_BERT_T_F_test.csv,MBTIShort_perceiving,0,0,0.26582278481012656,0.5338007471348424,0.5729219201320435,0.8931327562832412,2.317769130998703,0.033549055138493405,0.029687415136100043,0.3335490551384934,True,MBTIShort,perceiving,False
MBTIShort_perceiving_Binary_PTD_RoBERTa_F_F_test.csv,MBTIShort_perceiving,0,0,0.1497844827586207,0.5327180512655538,1.345200698080279,0.596390962410024,5.393732970027248,0.02570541030287342,0.01910930577283973,0.4257054103028734,False,MBTIShort,perceiving,False
MBTIShort_perceiving_Binary_PTD_RoBERTa_T_F_test.csv,MBTIShort_perceiving,0,0,0.1497844827586207,0.5327180512655538,0.6414125859767991,0.7579876681614349,4.869209809264305,0.02570541030287342,0.01910930577283973,0.4257054103028734,True,MBTIShort,perceiving,False
MBTIShort_perceiving_Binary_PT_RoBERTa_F_F_test.csv,MBTIShort_perceiving,0,0,0.08465972640454272,0.6132514839015581,1.2788906009244994,0.5888547941053908,16.5944976076555,0.006728991106533827,0.00633572195817924,0.47595976033730303,False,MBTIShort,perceiving,False
MBTIShort_perceiving_Binary_PT_RoBERTa_T_F_test.csv,MBTIShort_perceiving,0,0,0.08465972640454272,0.6132514839015581,0.600924499229584,0.7440592770173128,14.923444976076555,0.006728991106533827,0.00633572195817924,0.47595976033730303,True,MBTIShort,perceiving,False
MBTIShort_thinking_Binary_PT_BERT_F_F_test.csv,MBTIShort_thinking,0,0,0.4970041941282205,0.5914655545253374,0.9987690314220927,0.6898697236292544,1.0596895074946466,0.00046595909914570743,0.0752193581927208,0.09953404090085427,False,MBTIShort,thinking,False
MBTIShort_thinking_Binary_PT_BERT_T_F_test.csv,MBTIShort_thinking,0,0,0.4970041941282205,0.5914655545253374,0.8420060664958623,0.8388863346104726,1.0754817987152032,0.00046595909914570743,0.0752193581927208,0.09953404090085427,True,MBTIShort,thinking,False
MBTIShort_thinking_Binary_PTD_BERT_F_F_test.csv,MBTIShort_thinking,0,0,0.3591273540928585,0.5739116395455397,1.5198873239436619,0.6357696595091099,1.7865523465703972,0.11947967900595391,0.05243447721905273,0.26947967900595393,False,MBTIShort,thinking,False
MBTIShort_thinking_Binary_PTD_BERT_T_F_test.csv,MBTIShort_thinking,0,0,0.3591273540928585,0.5739116395455397,1.2813316261203582,0.7731002840889549,1.8131768953068592,0.11947967900595391,0.05243447721905273,0.26947967900595393,True,MBTIShort,thinking,False
